Recall@10,MAP@10,MIUF@10,Siren@10,PopInt@10,RecallNoPop@10,model,B,K,K1
0.14554335340126442,0.05933746852480153,4.299070885612279,0.00011899975035361287,0.2081647087851082,0.05870765615701716,bm25,0.25,50,0.5
0.11969781155192667,0.04535723920462303,4.929836234711476,0.00017928024870068435,0.13130453853851115,0.06333499506440139,bm25,0.25,50,1.25
0.10435403203522124,0.03884586808966571,5.294267662504848,0.00021017201583072256,0.09950707990075805,0.06282578151051402,bm25,0.25,50,2.5
0.15299114542731407,0.062330493335176464,4.219467047494293,0.00011304601716495147,0.2235214453141064,0.05824689218888306,bm25,0.25,100,0.5
0.12566409083113872,0.04768781218765614,4.82416137961154,0.0001713845343018855,0.13819746960371743,0.06369910493049051,bm25,0.25,100,1.25
0.11084603584413806,0.04079913205626369,5.184898960976114,0.0002035396944164926,0.10185845681466152,0.06510242981863835,bm25,0.25,100,2.5
0.15459782957029805,0.06255899623145253,4.2171355676279845,0.00011135388071075442,0.22798568941647362,0.05785366060249816,bm25,0.25,200,0.5
0.13106062239188954,0.049168574905310826,4.790340425223154,0.000167733213555877,0.14704508382109027,0.06408212653453131,bm25,0.25,200,1.25
0.11645067755795703,0.04260345078016424,5.133965081772023,0.00019964709711607523,0.11092456787246584,0.06520288741056691,bm25,0.25,200,2.5
0.10511438332662204,0.039210756906711726,5.272300154953779,0.0002092549182131075,0.10041478760297724,0.06299987772609648,bm25,0.5,50,0.5
0.07727836235734226,0.028579725863960438,6.121813205566067,0.00027094026821828065,0.04810467013008376,0.06022428697058475,bm25,0.5,50,1.25
0.06565961384698478,0.024689693739622414,6.594118709857699,0.00029922943579831495,0.03267172014858882,0.056359325498994084,bm25,0.5,50,2.5
0.11217229763378245,0.041432032648239116,5.158008802640184,0.00020292408413914563,0.10447329102298741,0.06526827770329505,bm25,0.5,100,0.5
0.08006881841002336,0.029139148659806727,6.0068322000430285,0.000266851669140418,0.04908036681150877,0.06254140082761254,bm25,0.5,100,1.25
0.06768948761939651,0.02500028362595263,6.479354130239957,0.00029660299864482897,0.03208367030828067,0.0589274254958506,bm25,0.5,100,2.5
0.11803364185164816,0.04326189654491274,5.105672357702733,0.00019813776007431762,0.11381519608515073,0.06540754311091579,bm25,0.5,200,0.5
0.08544488999274821,0.030437728811221074,5.955432610040341,0.0002652732530575198,0.051641741943443044,0.06345064912145461,bm25,0.5,200,1.25
0.07006859364296927,0.025539256765036662,6.430823607866777,0.0002962278981178628,0.03184241909174399,0.060020264500166697,bm25,0.5,200,2.5
