Recall@10,MAP@10,MIUF@10,Siren@10,PopInt@10,RecallNoPop@10,model,item_alpha,loss,max_sampled,no_components,user_alpha,epochs
0.23646658484462077,0.08667013814830711,2.6149271273326313,5.853915307785531e-06,0.8133310487574192,0.01726567567654075,lightfm,0.0001,warp,25,150,0.0001,5
0.00802465746741298,0.00201610627213245,11.334465027285571,7.898881632827966e-06,0.016719805902430333,0.0007881067322252791,lightfm,0.0001,warp,25,150,0.001,5
0.0001867365116668071,5.1149499051909255e-05,12.265828981322821,4.7152780046586975e-06,3.2897893164091953e-06,0.0002204160676551996,lightfm,0.001,warp,25,150,0.0001,5
0.0005022191563095668,0.00013068325639358324,11.263582313988731,1.2053659232246569e-05,0.0,0.000625386956632521,lightfm,0.001,warp,25,150,0.001,5
0.23661346195573205,0.08177346847972773,2.603238350068597,5.8586161498707585e-06,0.8137219853878525,0.017377825063233907,lightfm,0.0001,warp,25,150,0.0001,6
0.00800334483776803,0.002099589607128322,11.3769783841142,8.933633659798981e-06,0.017042753553657836,0.0008952560261864722,lightfm,0.0001,warp,25,150,0.001,6
0.00012273010108008087,2.8158714128951185e-05,12.333835327923483,4.098400833700011e-06,2.19319287760613e-06,0.00015217460966941734,lightfm,0.001,warp,25,150,0.0001,6
0.00024161672478744244,7.78876260300543e-05,11.799238923399667,6.266755928656612e-06,2.467341987306896e-06,0.00029065426365433523,lightfm,0.001,warp,25,150,0.001,6
0.23219545811614453,0.07889354794092739,2.7743135016372857,5.549060697654854e-06,0.8014250270722248,0.01667115688360146,lightfm,0.0001,warp,25,150,0.0001,7
0.007586398923589073,0.0019183112611354596,11.900195453724171,7.3304798121678205e-06,0.017340479486792865,0.0008094212605485905,lightfm,0.0001,warp,25,150,0.001,7
0.00033662959316789926,7.732648310078401e-05,11.632719236968708,7.437865715408262e-06,8.224473291022988e-07,0.0004227643184984992,lightfm,0.001,warp,25,150,0.0001,7
0.00026582953319284933,7.093995904423519e-05,12.012013190028643,8.280183270630184e-06,2.7414910970076624e-06,0.000327624829962176,lightfm,0.001,warp,25,150,0.001,7
