,Recall@10,MAP@10,MIUF@10,Siren@10,PopInt@10,RecallNoPop@10,model,K,B,K1
27,0.1777406986126991,0.0759886518471893,3.739742984155898,7.097848139693165e-05,0.3291757707016846,0.0496273156652516,bm25,200,0.5,0.1
38,0.0451507369812723,0.018048524032815,7.644945659324756,0.0003507223933225,0.0088769481721108,0.0485417296347711,bm25,200,0.7,5.0
10,0.0464635816134801,0.0187893469866399,7.589294367982012,0.0003416766062388,0.0120373391087412,0.0471593648678158,bm25,50,0.75,2.5
35,0.0437588303789997,0.0178050181727968,7.7021788352771985,0.0003478294750996,0.0092306005236247,0.0467349912878747,bm25,100,0.7,5.0
13,0.0435225495353848,0.0178482318710923,7.809692821156383,0.0003483115614582,0.0096325031184461,0.0453549782351818,bm25,50,1.0,1.25
32,0.0430936573938572,0.0177265161847823,7.805560086429921,0.0003473214174221,0.0091944128411443,0.0451995715096802,bm25,50,0.7,5.0
11,0.039789192155973,0.0167109084173513,8.044084008543297,0.0003525140142646,0.0070069770948418,0.0431789980332423,bm25,50,0.75,5.0
14,0.0323853902658794,0.0144480494473441,8.75734270017626,0.0003520484975409,0.0027568434471509,0.0375816755837234,bm25,50,1.0,2.5
18,0.2158579486098771,0.0900956815566612,3.0152764922033564,2.5955749583201548e-05,0.5755184845037217,0.0312644992885619,bm25,200,0.1,0.1
12,0.2155088491513873,0.089833283443284,3.000519317708388,2.5195713434125977e-05,0.5763225638424737,0.0312628428110243,bm25,50,0.1,0.1
15,0.2158909665048112,0.090061465592053,3.007007783463384,2.5390981746848515e-05,0.577076473894151,0.0310657412076086,bm25,100,0.1,0.1
15,0.0252898605825058,0.0121343499038432,9.737034330506352,0.0003272773268239,0.0010321713980233,0.0305493401375241,bm25,50,1.0,5.0
