item_id,runtime
tt0033804,"""94"""
tt0033836,"""116"""
tt0033870,"""100"""
tt0033873,"""105"""
tt0033874,"""112"""
tt0033891,"""135"""
tt0033922,"""95"""
tt0034012,"""119"""
tt0034167,"""134"""
tt0034172,"""97"""
tt0034240,"""90"""
tt0034248,"""99"""
tt0034272,"""125"""
tt0034398,"""70"""
tt0034428,"""97"""
tt0034449,"""107"""
tt0034492,"""69"""
tt0034522,"""87"""
tt0034583,"""102"""
tt0034587,"""73"""
tt0034742,"""102"""
tt0034746,"""104"""
tt0034786,"""67"""
tt0034798,"""85"""
tt0034862,"""100"""
tt0034881,"""77"""
tt0034891,"""115"""
tt0034928,"""108"""
tt0035015,"""88"""
tt0035019,"""100"""
tt0035093,"""134"""
tt0035140,"""117"""
tt0035169,"""88"""
tt0035211,"""128"""
tt0035262,"""82"""
tt0035279,"""109"""
tt0035317,"""68"""
tt0035318,"""65"""
tt0035417,"""118"""
tt0035423,"""118"""
tt0035432,"""81"""
tt0035446,"""99"""
tt0035567,"""114"""
tt0035575,"""126"""
tt0035583,"""97"""
tt0035608,"""126"""
tt0035753,"""92"""
tt0035799,"""135"""
tt0035884,"""96"""
tt0035896,"""170"""
tt0035899,"""74"""
tt0035937,"""69"""
tt0035966,"""134"""
tt0035979,"""112"""
tt0036027,"""69"""
tt0036098,"""89"""
tt0036104,"""66"""
tt0036112,"""163"""
tt0036172,"""104"""
tt0036241,"""116"""
tt0036244,"""75"""
tt0036260,"""87"""
tt0036261,"""92"""
tt0036342,"""108"""
tt0036348,"""68"""
tt0036349,"""71"""
tt0036376,"""80"""
tt0036377,"""156"""
tt0036400,"""79"""
tt0036431,"""103"""
tt0036515,"""114"""
tt0036613,"""118"""
tt0036695,"""124"""
tt0036723,"""107"""
tt0036733,"""70"""
tt0036775,"""107"""
tt0036855,"""114"""
tt0036868,"""170"""
tt0036872,"""126"""
tt0036891,"""101"""
tt0036910,"""137"""
tt0036914,"""101"""
tt0036931,"""71"""
tt0036969,"""97"""
tt0037008,"""88"""
tt0037017,"""97"""
tt0037059,"""113"""
tt0037075,"""86"""
tt0037094,"""146"""
tt0037101,"""95"""
tt0037120,"""123"""
tt0037168,"""69"""
tt0037280,"""177"""
tt0037303,"""63"""
tt0037330,"""85"""
tt0037365,"""100"""
tt0037366,"""138"""
tt0037382,"""100"""
tt0037415,"""99"""
tt0037469,"""107"""
tt0037514,"""140"""
tt0037515,"""97"""
tt0037522,"""95"""
tt0037536,"""126"""
tt0037549,"""78"""
tt0037558,"""86"""
tt0037595,"""101"""
tt0037604,"""90"""
tt0037630,"""86"""
tt0037635,"""103"""
tt0037674,"""189"""
tt0037691,"""98"""
tt0037794,"""69"""
tt0037800,"""92"""
tt0037820,"""71"""
tt0037824,"""103"""
tt0037865,"""110"""
tt0037884,"""101"""
tt0037913,"""111"""
tt0037954,"""142"""
tt0037988,"""110"""
tt0038057,"""102"""
tt0038109,"""111"""
tt0038116,"""100"""
tt0038160,"""135"""
tt0038166,"""71"""
tt0038182,"""59"""
tt0038190,"""129"""
tt0038235,"""117"""
tt0038259,"""68"""
tt0038343,"""79"""
tt0038348,"""96"""
tt0038355,"""114"""
tt0038363,"""96"""
tt0038369,"""96"""
tt0038494,"""76"""
tt0038499,"""146"""
tt0038559,"""110"""
tt0038574,"""118"""
tt0038577,"""91"""
tt0038589,"""102"""
tt0038622,"""125"""
tt0038650,"""130"""
tt0038669,"""103"""
tt0038718,"""75"""
tt0038733,"""104"""
tt0038762,"""97"""
tt0038777,"""85"""
tt0038787,"""102"""
tt0038823,"""126"""
tt0038854,"""113"""
tt0038873,"""145"""
tt0038890,"""103"""
tt0038969,"""94"""
tt0038975,"""83"""
tt0038988,"""116"""
tt0038991,"""95"""
tt0039017,"""60"""
tt0039111,"""128"""
tt0039152,"""100"""
tt0039169,"""95"""
tt0039190,"""109"""
tt0039192,"""101"""
tt0039204,"""104"""
tt0039208,"""88"""
tt0039211,"""92"""
tt0039220,"""92"""
tt0039224,"""98"""
tt0039286,"""86"""
tt0039302,"""106"""
tt0039305,"""100"""
tt0039404,"""73"""
tt0039416,"""118"""
tt0039417,"""78"""
tt0039420,"""104"""
tt0039502,"""116"""
tt0039536,"""99"""
tt0039566,"""118"""
tt0039591,"""89"""
tt0039628,"""96"""
tt0039631,"""124"""
tt0039661,"""110"""
tt0039677,"""116"""
tt0039689,"""97"""
tt0039694,"""125"""
tt0039725,"""108"""
tt0039737,"""101"""
tt0039822,"""87"""
tt0039853,"""86"""
tt0040068,"""83"""
tt0040076,"""110"""
tt0040160,"""95"""
tt0040202,"""112"""
tt0040308,"""103"""
tt0040338,"""95"""
tt0040366,"""79"""
tt0040367,"""116"""
tt0040369,"""128"""
tt0040416,"""154"""
tt0040427,"""79"""
tt0040495,"""102"""
tt0040506,"""100"""
tt0040522,"""89"""
tt0040525,"""87"""
tt0040536,"""87"""
tt0040558,"""107"""
tt0040580,"""75"""
tt0040613,"""94"""
tt0040636,"""96"""
tt0040662,"""116"""
tt0040679,"""91"""
tt0040694,"""102"""
tt0040705,"""86"""
tt0040724,"""133"""
tt0040725,"""135"""
tt0040746,"""80"""
tt0040766,"""99"""
tt0040806,"""108"""
tt0040820,"""113"""
tt0040823,"""89"""
tt0040866,"""160"""
tt0040872,"""95"""
tt0040876,"""125"""
tt0040897,"""126"""
tt0040919,"""105"""
tt0040978,"""98"""
tt0040979,"""98"""
tt0041085,"""84"""
tt0041090,"""101"""
tt0041094,"""68"""
tt0041113,"""110"""
tt0041154,"""108"""
tt0041158,"""109"""
tt0041163,"""118"""
tt0041239,"""99"""
tt0041268,"""84"""
tt0041373,"""94"""
tt0041386,"""114"""
tt0041452,"""115"""
tt0041473,"""87"""
tt0041498,"""105"""
tt0041507,"""102"""
tt0041546,"""106"""
tt0041555,"""100"""
tt0041587,"""103"""
tt0041594,"""122"""
tt0041699,"""122"""
tt0041716,"""98"""
tt0041719,"""112"""
tt0041737,"""84"""
tt0041746,"""102"""
tt0041786,"""82"""
tt0041838,"""134"""
tt0041841,"""100"""
tt0041859,"""73"""
tt0041866,"""104"""
tt0041870,"""95"""
tt0041931,"""107"""
tt0041944,"""93"""
tt0041958,"""94"""
tt0041959,"""104"""
tt0041968,"""99"""
tt0041996,"""132"""
tt0042039,"""98"""
tt0042040,"""82"""
tt0042041,"""114"""
tt0042046,"""73"""
tt0042114,"""30"""
tt0042192,"""138"""
tt0042200,"""107"""
tt0042208,"""112"""
tt0042276,"""103"""
tt0042281,"""97"""
tt0042286,"""93"""
tt0042296,"""96"""
tt0042327,"""86"""
tt0042332,"""74"""
tt0042367,"""113"""
tt0042451,"""92"""
tt0042464,"""88"""
tt0042477,"""85"""
tt0042531,"""85"""
tt0042546,"""104"""
tt0042593,"""94"""
tt0042619,"""115"""
tt0042727,"""87"""
tt0042788,"""101"""
tt0042804,"""85"""
tt0042832,"""96"""
tt0042895,"""105"""
tt0042906,"""93"""
tt0042958,"""104"""
tt0042994,"""110"""
tt0043012,"""108"""
tt0043014,"""110"""
tt0043067,"""96"""
tt0043117,"""86"""
tt0043132,"""95"""
tt0043137,"""92"""
tt0043153,"""112"""
tt0043208,"""30"""
tt0043265,"""105"""
tt0043274,"""75"""
tt0043278,"""114"""
tt0043313,"""125"""
tt0043338,"""111"""
tt0043362,"""90"""
tt0043379,"""117"""
tt0043456,"""92"""
tt0043461,"""88"""
tt0043465,"""103"""
tt0043503,"""87"""
tt0043547,"""102"""
tt0043614,"""166"""
tt0043686,"""86"""
tt0043809,"""97"""
tt0043879,"""82"""
tt0043887,"""111"""
tt0043899,"""124"""
tt0043915,"""110"""
tt0043924,"""122"""
tt0043949,"""171"""
tt0043972,"""99"""
tt0043983,"""93"""
tt0044000,"""86"""
tt0044008,"""86"""
tt0044030,"""108"""
tt0044079,"""101"""
tt0044081,"""122"""
tt0044103,"""133"""
tt0044121,"""87"""
tt0044207,"""83"""
tt0044231,"""30"""
tt0044357,"""91"""
tt0044391,"""118"""
tt0044413,"""91"""
tt0044509,"""99"""
