Recall@10,MAP@10,MIUF@10,Siren@10,PopInt@10,RecallNoPop@10,model,loss,max_sampled,no_components,epochs,with_feature
0.13072297722443485,0.05861749021645707,4.22477684252508,0.0001597891111511409,0.30843136746108324,0.06109197327061625,lightfm,warp,22,125,6,lifetime
0.12916572410821736,0.05667583760145846,4.404987930267467,0.0001881589762559403,0.29641745907807426,0.06070132939521212,lightfm,warp,22,175,6,lifetime
0.12715930153370528,0.05540586013678346,4.487638939269447,0.00020181447433990799,0.28673985709466715,0.06037217570548528,lightfm,warp,22,200,6,lifetime
0.12964584254074357,0.05746021825360137,4.302199855786739,0.0001705321720905108,0.2929672553825394,0.06191959798562555,lightfm,warp,25,125,6,lifetime
0.12868832673412647,0.05654819702476238,4.453018890029522,0.00019560550583299667,0.287710094192967,0.06131240403000828,lightfm,warp,25,175,6,lifetime
0.12661519910215507,0.05525966574692563,4.521737635132108,0.00020879220018429917,0.281923112307362,0.06177137459636859,lightfm,warp,25,200,6,lifetime
0.1315471075026628,0.058467410777722474,4.277104532652047,0.00016665675444924158,0.3007459007305675,0.062004367433722694,lightfm,warp,27,125,6,lifetime
0.12782411529166052,0.05614664466947083,4.477813785036485,0.00020116951008807563,0.2802996813055387,0.06168335448387408,lightfm,warp,27,175,6,lifetime
0.12595165592410038,0.05454503980089927,4.551805916242563,0.00020853522712921166,0.2737002762333193,0.061629928628015744,lightfm,warp,27,200,6,lifetime
0.1278745093470614,0.056176145168059986,4.366917240797442,0.00017931704373551775,0.290261537046167,0.06100093071951633,lightfm,warp,22,125,7,lifetime
0.12595549998200262,0.05522330620427565,4.5426649739038165,0.00020946583709935133,0.2766970892887052,0.06067966736094869,lightfm,warp,22,175,7,lifetime
0.125338470379427,0.054990209215697375,4.607056626757035,0.0002204656150878872,0.2740859649412502,0.06062073485696229,lightfm,warp,22,200,7,lifetime
0.1293751922780814,0.05700438196096365,4.3799476277302505,0.00018300722686995398,0.29276839570010166,0.060913530319307824,lightfm,warp,25,125,7,lifetime
0.12578529943286382,0.054952939141728524,4.591609282027694,0.0002156546095835582,0.27226933574261003,0.06038717425497166,lightfm,warp,25,175,7,lifetime
0.12476903059549418,0.05452290750081217,4.6522303745483455,0.00022468038280079627,0.2705633414088135,0.06058065163430599,lightfm,warp,25,200,7,lifetime
0.1286840062002257,0.05718224674482046,4.39840512990558,0.00018595257499802914,0.28512067220705944,0.06160401371933268,lightfm,warp,27,125,7,lifetime
0.1258810976606939,0.05519078483005742,4.598077161067419,0.00021553707442043866,0.26985801465852993,0.06084250979043293,lightfm,warp,27,175,7,lifetime
0.12254490451477741,0.053265678453036445,4.70344583930312,0.00023004413353497463,0.26232446445884455,0.05955394498164658,lightfm,warp,27,200,7,lifetime
